step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
278,330218.42,20866.0,351084.42,452419.57,122201.15,0,0,0,0,0,0
15,11647.08,30370.0,18722.92,0.0,0.0,0,0,0,0,1,0
10,152264.21,106589.0,258853.21,201303.01,49038.8,0,0,0,0,0,0
403,1551760.63,0.0,0.0,3198359.45,4750120.08,0,0,0,0,0,1
206,78172.3,2921331.58,2999503.88,415821.9,337649.6,0,0,0,0,0,0
259,915.13,0.0,0.0,0.0,0.0,0,0,0,0,1,0
188,20603.87,0.0,0.0,558068.66,578672.53,0,0,1,0,0,0
139,58605.72,0.0,0.0,585494.94,644100.66,0,0,1,0,0,0
230,4865.11,0.0,0.0,0.0,0.0,0,0,0,0,1,0
544,118131.63,0.0,0.0,8131691.35,8476246.86,0,0,1,0,0,0
45,141100.88,80506.0,0.0,89384.09,230484.96,0,0,1,0,0,0
163,384177.48,40348.0,0.0,0.0,384177.48,0,0,1,0,0,0
211,153486.36,20476.0,0.0,85173.16,238659.53,0,0,1,0,0,0
302,51042.59,184.0,0.0,380143.14,431185.74,0,0,1,0,0,0
18,48691.16,0.0,0.0,0.0,0.0,0,0,0,0,1,0
322,36598.65,8240.66,0.0,0.0,0.0,0,0,0,0,1,0
158,124443.29,14236.0,0.0,0.0,124443.29,0,0,1,0,0,0
131,510190.97,57590.0,0.0,115914.88,626105.86,0,0,1,0,0,0
253,940927.27,8568.0,0.0,0.0,940927.27,0,0,0,0,0,1
132,240156.34,0.0,0.0,2811902.28,3052058.62,0,0,1,0,0,0
283,44360.26,0.0,0.0,282664.52,327024.78,0,0,1,0,0,0
43,338458.24,30283.0,0.0,1055729.15,1564103.49,0,0,1,0,0,0
642,311748.24,4279.0,316027.24,27843.39,0.0,0,0,0,0,0,0
164,151.58,10659.0,10507.42,50706.33,50857.9,0,0,0,1,0,0
326,26565.95,0.0,0.0,0.0,0.0,0,0,0,0,1,0
132,6.57,0.0,0.0,2909681.35,2909687.93,0,0,1,0,0,0
37,23898.77,50271.0,74169.77,205872.37,181973.6,0,0,0,0,0,0
9,26360.78,365.0,0.0,202458.96,244056.68,0,0,1,0,0,0
157,192935.2,51937.0,244872.2,171874.85,0.0,0,0,0,0,0,0
406,18801.43,126.0,0.0,0.0,18801.43,0,0,0,0,0,1
235,3516.08,0.0,0.0,0.0,0.0,0,0,0,0,1,0
346,6987.8,0.0,0.0,0.0,0.0,0,0,0,0,1,0
19,8808.73,50485.0,59293.73,177448.43,168639.7,0,0,0,0,0,0
208,24649.07,0.0,0.0,0.0,0.0,0,0,0,0,1,0
332,97562.73,5396.0,0.0,2455585.33,2553148.05,0,0,1,0,0,0
139,598680.17,45059.0,0.0,2559233.0,3157913.17,0,0,0,0,0,1
304,218659.82,1005.0,0.0,16320325.66,16592681.56,0,0,1,0,0,0
686,304408.97,4276845.77,4581254.74,1443186.93,1314479.93,0,0,0,0,0,0
139,5090.28,50617.0,45526.72,0.0,0.0,0,0,0,0,1,0
226,176016.04,0.0,0.0,12916654.7,13005481.5,0,0,1,0,0,0
201,11605.7,0.0,0.0,0.0,0.0,0,0,0,0,1,0
14,234850.43,669990.79,904841.22,298639.42,49936.17,0,0,0,0,0,0
323,186549.79,0.0,0.0,242473.16,429022.95,0,0,1,0,0,0
225,79042.15,6064.0,0.0,410360.71,489402.86,0,0,1,0,0,0
138,5055.72,108809.83,103754.11,0.0,0.0,0,0,0,0,1,0
41,12020.77,639020.83,627000.06,0.0,0.0,0,0,0,0,1,0
399,123326.84,5477362.0,5600688.84,3470716.16,3347389.32,0,0,0,0,0,0
120,14241.21,109207.0,94965.79,0.0,0.0,0,0,0,0,1,0
373,23480.16,5309.0,0.0,0.0,0.0,0,0,0,0,1,0
